FileName	ARTIST	TITLE	Release Year	Rolling Stone Rank	RS 5x20 subset	Lyric subset	YoutubeLink
OtisRedding_TheDockOfTheBay_1968	Otis Redding	(Sittin' on) the Dock of the Bay	1968	28	TRUE	TRUE	https://www.youtube.com/watch?v=rTVjnBo96Ug
BillHaley_RockAroundTheClock_1954	Bill Haley and His Comets	(We're Gonna) Rock Around the Clock	1954	158	FALSE	FALSE	https://www.youtube.com/watch?v=ZgdufzXvjqw
Prince_1999_1982	Prince	1999	1982	212	TRUE	TRUE	https://www.youtube.com/watch?v=rblt2EtFfC4
SamCooke_AChangeIsGonnaCome_1964	Sam Cooke	A Change Is Gonna Come	1964	12	TRUE	FALSE	https://www.youtube.com/watch?v=wEBlaMOmKV4
TheBeatles_ADayInTheLife_1967	The Beatles	A Day in the Life	1967	26	TRUE	TRUE	https://www.youtube.com/watch?v=usNsCeOV4GM
TheBeatles_AHardDaysNight_1964	The Beatles	A Hard Day's Night	1964	153	FALSE	FALSE	https://www.youtube.com/watch?v=Yjyj8qnqkYI
ProcolHarum_AWhiterShadeOfPale_1967	Procol Harum	A Whiter Shade of Pale	1967	57	FALSE	FALSE	https://www.youtube.com/watch?v=_BADDeIQWVQ
TheJimiHendrixExperience_AllAlongTheWatchtower_1968	The Jimi Hendrix Experience	All Along the Watchtower	1968	48	FALSE	FALSE	https://www.youtube.com/watch?v=TLV4_xaYynY
Nirvana_AllApologies_1993	Nirvana	All Apologies	1993	455	TRUE	TRUE	https://www.youtube.com/watch?v=fUYXpnl-dKw
TheEverlyBrothers_AllIHaveToDoIsDream_1958	The Everly Brothers	All I Have to Do Is Dream	1958	141	FALSE	FALSE	https://www.youtube.com/watch?v=tbU3zdAgiX8
SexPistols_AnarchyInTheUK_1977	Sex Pistols	Anarchy in the U.K.	1977	53	TRUE	TRUE	https://www.youtube.com/watch?v=cBojbjoMttI
ACDC_BackInBlack_1980	AC/DC	Back in Black	1980	187	TRUE	TRUE	https://www.youtube.com/watch?v=pAgnJDJN4VA
TheRonettes_BeMyBaby_1963	The Ronettes	Be My Baby	1963	22	TRUE	TRUE	https://www.youtube.com/watch?v=NnWOBMQhNBQ
GeneVincent_BeBopALula_1956	Gene Vincent	Be-Bop-A-Lula	1956	102	FALSE	FALSE	https://www.youtube.com/watch?v=ZWFlLYZm0tA
MichaelJackson_BillieJean_1983	Michael Jackson	Billie Jean	1983	58	TRUE	TRUE	https://www.youtube.com/watch?v=kM5ywtImaSs
TheVerve_BitterSweetSymphony_1997	The Verve	Bitter Sweet Symphony	1997	382	TRUE	TRUE	https://www.youtube.com/watch?v=1lyu1KKwC74
NewOrder_BizarreLoveTriangle_1986	New Order	Bizarre Love Triangle	1986	201	TRUE	TRUE	https://www.youtube.com/watch?v=tkOr12AQpnU
TheRamones_BlitzkriegBop_1976	The Ramones	Blitzkrieg Bop	1976	92	TRUE	TRUE	https://www.youtube.com/watch?v=nKyFpJ3M1xM
BobDylan_BlowinInTheWind_1963	Bob Dylan	Blowin' in the Wind	1963	14	TRUE	TRUE	https://www.youtube.com/watch?v=vWwgrjjIMXA
CarlPerkins_BlueSuedeShoes_1956	Carl Perkins	Blue Suede Shoes	1956	95	TRUE	FALSE	https://www.youtube.com/watch?v=DRNyvO4QouY
FatsDomino_BlueberryHill_1956	Fats Domino	Blueberry Hill	1956	81	TRUE	FALSE	https://www.youtube.com/watch?v=Pm4l43exh2M
BoDiddley_BoDiddley_1955	Bo Diddley	Bo Diddley	1955	62	TRUE	TRUE	https://www.youtube.com/watch?v=dLcYuuljrD4
Queen_BohemianRhapsody_1975	Queen	Bohemian Rhapsody	1975	163	FALSE	FALSE	https://www.youtube.com/watch?v=M-9ERM0Jr4U
Steppenwolf_BornToBeWild_1968	Steppenwolf	Born To Be Wild	1968	129	FALSE	FALSE	https://www.youtube.com/watch?v=mLhpXUtxS1c
BruceSpringsteen_BornToRun_1975	Bruce Springsteen	Born to Run	1975	21	TRUE	TRUE	https://www.youtube.com/watch?v=IxuThNgl3YA
JoniMitchell_BothSidesNow_1969	Joni Mitchell	Both Sides Now	1969	170	FALSE	FALSE	https://www.youtube.com/watch?v=Pbn6a0AFfnM
SimonAndGarfunkel_BridgeOverTroubledWater_1970	Simon and Garfunkel	Bridge over Troubled Water	1970	47	TRUE	TRUE	https://www.youtube.com/watch?v=4G-YQA_bsOU
VanMorrison_BrownEyedGirl_1967	Van Morrison	Brown Eyed Girl	1967	109	FALSE	FALSE	https://www.youtube.com/watch?v=UfmkgQRmmeE
TheMamasAndThePapas_CaliforniaDreamin_1965	The Mamas & the Papas	California Dreamin'	1965	89	FALSE	FALSE	https://www.youtube.com/watch?v=N-aK6JnyFmk
TheBeachBoys_CaliforniaGirls_1965	The Beach Boys	California Girls	1965	71	FALSE	FALSE	https://www.youtube.com/watch?v=7oRb9-mypxg
2Pac_CaliforniaLove_1996	2Pac	California Love	1996	346	TRUE	TRUE	https://www.youtube.com/watch?v=omfz62qu_Bc
TheEverlyBrothers_CathysClown_1960	The Everly Brothers	Cathy's Clown	1960	149	FALSE	FALSE	https://www.youtube.com/watch?v=p_fkzaAEbQg
DavidBowie_Changes_1971	David Bowie	Changes	1971	127	FALSE	FALSE	https://www.youtube.com/watch?v=ocB46f2FqJE
Nirvana_ComeAsYouAre_1991	Nirvana	Come As You Are	1991	445	TRUE	TRUE	https://www.youtube.com/watch?v=vabnZ9-ex7o
PatsyCline_Crazy_1961	Patsy Cline	Crazy	1961	85	FALSE	FALSE	https://www.youtube.com/watch?v=MbnrdCS57d0
RoyOrbison_Crying_1961	Roy Orbison	Crying	1961	69	FALSE	FALSE	https://www.youtube.com/watch?v=7KgcgxNQ05g
TheCrystals_DaDooRonRon_1963	The Crystals	Da Doo Ron Ron	1963	114	FALSE	FALSE	https://www.youtube.com/watch?v=v-qqi7-Q19k
MarthaAndTheVandellas_DancingInTheStreet_1964	Martha and the Vandellas	Dancing in the Street	1964	40	FALSE	FALSE	https://www.youtube.com/watch?v=68Uv959QuCg
ABBA_DancingQueen_1976	ABBA	Dancing Queen	1976	171	FALSE	FALSE	https://www.youtube.com/watch?v=XN9lgrT8eVc
TheBeachBoys_DontWorryBaby_1964	The Beach Boys	Don't Worry Baby	1964	176	FALSE	FALSE	https://www.youtube.com/watch?v=SvZHoF0A9WQ
Aerosmith_DreamOn_1973	Aerosmith	Dream On	1973	172	FALSE	FALSE	https://www.youtube.com/watch?v=Pj5kNX2h8Qg
ThePenguins_EarthAngel_1954	The Penguins	Earth Angel	1954	151	FALSE	FALSE	https://www.youtube.com/watch?v=VJcGi4-n_Yw
TheByrds_EightMilesHigh_1966	The Byrds	Eight Miles High	1966	150	FALSE	FALSE	https://www.youtube.com/watch?v=J74ttSR8lEg
TheBeatles_EleanorRigby_1966	The Beatles	Eleanor Rigby	1966	137	FALSE	FALSE	https://www.youtube.com/watch?v=HuS5NuXRb5Y
Metallica_EnterSandman_1991	Metallica	Enter Sandman	1991	399	TRUE	TRUE	https://www.youtube.com/watch?v=_W7wqQwa-TU
ThePolice_EveryBreathYouTake_1983	The Police	Every Breath You Take	1983	84	TRUE	TRUE	https://www.youtube.com/watch?v=OMOGaugKpzs
SlyAndTheFamilyStone_EverydayPeople_1968	Sly and the Family Stone	Everyday People	1968	145	FALSE	FALSE	https://www.youtube.com/watch?v=YUUhDoCx8zc
Radiohead_FakePlasticTrees_1995	Radiohead	Fake Plastic Trees	1995	376	TRUE	TRUE	https://www.youtube.com/watch?v=n5h0qHwNrHk
SlyAndTheFamilyStone_FamilyAffair_1971	Sly and the Family Stone	Family Affair	1971	138	FALSE	FALSE	https://www.youtube.com/watch?v=MbT_ask1Cco
TracyChapman_FastCar_1988	Tracy Chapman	Fast Car	1988	165	TRUE	TRUE	https://www.youtube.com/watch?v=IxXO2ybSvfg
JohnnyCash_FolsomPrisonBlues_1956	Johnny Cash	Folsom Prison Blues	1956	164	FALSE	FALSE	https://www.youtube.com/watch?v=or8hZmWN96Q
BuffaloSpringfield_ForWhatItsWorth_1967	Buffalo Springfield	For What It's Worth	1967	63	FALSE	FALSE	https://www.youtube.com/watch?v=gp5JCrSXkJY
CreedenceClearwaterRevival_FortunateSon_1969	Creedence Clearwater Revival	Fortunate Son	1969	99	FALSE	FALSE	https://www.youtube.com/watch?v=ec0XKhAHR5I
TheJimiHendrixExperience_FoxeyLady_1965	The Jimi Hendrix Experience	Foxey Lady	1965	152	FALSE	FALSE	https://www.youtube.com/watch?v=_PVjcIO4MT4
TomPetty_FreeFallin_1989	Tom Petty	Free Fallin'	1989	177	TRUE	TRUE	https://www.youtube.com/watch?v=1lWJXDG2i0A
RayCharles_GeorgiaOnMyMind_1960	Ray Charles	Georgia on My Miind	1960	44	FALSE	FALSE	https://www.youtube.com/watch?v=-DFhuE_XeT8
TheRollingStones_GimmeShelter_1969	The Rolling Stones	Gimme Shelter	1969	38	FALSE	FALSE	https://www.youtube.com/watch?v=SBva-z1AsGk
