1999.hum	Prince	119
a_change_is_gonna_come.hum	Sam Cooke	86
a_day_in_the_life.hum	The Beatles	155
a_hard_days_night.hum	The Beatles	142
all_along_the_watchtower.hum	The Jimi Hendrix Experience	111
all_apologies.hum	Nirvana	115
all_i_have_to_do_is_dream.hum	The Everly Brothers	105
anarchy_in_the_uk.hum	Sex Pistols	134
a_whiter_shade_of_pale.hum	Procol Harum	73
back_in_black.hum	AC/DC	95
be-bop-a-lula.hum	Gene Vincent	185
be_my_baby.hum	The Ronettes	128
billie_jean.hum	Michael Jackson	117
bitter_sweet_symphony.hum	The Verve	86
bizarre_love_triangle.hum	New Order	119
blitzkrieg_bop.hum	The Ramones	177
blowin_in_the_wind.hum	Bob Dylan	90
blueberry_hill.hum	Fats Domino	138
blue_suede_shoes.hum	Carl Perkins	258
bo_diddley.hum	Bo Diddley	104
bohemian_rhapsody.hum	Queen	72,142,148,152,207
born_to_be_wild.hum	Steppenwolf	145
born_to_run.hum	Bruce Springsteen	150
both_sides_now.hum	Joni Mitchell	97
bridge_over_troubled_water.hum	Simon and Garfunkel	84
brown-eyed_girl.hum	Van Morrison	147
california_dreamin.hum	The Mamas & the Papas	113
california_girls.hum	The Beach Boys	174
california_love.hum	Dr. Dre and 2Pac	92
cathys_clown.hum	The Everly Brothers	122
changes.hum	David Bowie	114
come_as_you_are.hum	Nirvana	120
crazy.hum	Patsy Cline	108
crying.hum	Roy Orbison	98
da_doo_ron_ron.hum	The Crystals	226
dancing_in_the_street.hum	Martha and the Vandellas	125
dancing_queen.hum	Abba	101
dont_worry_baby.hum	The Beach Boys	122
dream_on.hum	Aerosmith	77
earth_angel.hum	The Penguins	113
eight_miles_high.hum	The Byrds	128
eleanor_rigby.hum	The Beatles	140
enter_sandman.hum	Metallica	124
every_breath_you_take.hum	The Police	118
everyday_people.hum	Sly and the Family Stone	113
fake_plastic_trees.hum	Radiohead	74
family_affair.hum	Sly and the Family Stone	108
fast_car.hum	Tracy Chapman	104
folsom_prison_blues.hum	Johnny Cash	102
fortunate_son.hum	Creedence Clearwater Revival	133
for_what_its_worth.hum	Buffalo Springfield	99
foxey_lady.hum	The Jimi Hendrix Experience	107
free_fallin.hum	Tom Petty	84
georgia_on_my_mind.hum	Ray Charles	95
gimme_shelter.hum	The Rolling Stones	118
god_only_knows.hum	The Beach Boys	117
god_save_the_queen.hum	The Sex Pistols	150
good_golly_miss_molly.hum	Little Richard	165
good_vibrations.hum	The Beach Boys	225
go_your_own_way.hum	Fleetwood Mac	136
great_balls_of_fire.hum	Jerry Lee Lewis	160
hallelujah.hum	Jeff Buckley	105
heartbreak_hotel.hum	Elvis Presley	135
help.hum	The Beatles	191
heroes.hum	David Bowie	113
hey_jude.hum	The Beatles	74
honky_tonk_women.hum	The Rolling Stones	114,120,122,126
hotel_california.hum	The Eagles	73
hot_stuff.hum	Donna Summer	120
hound_dog.hum	Elvis Presley	265
house_of_the_rising_sun.hum	The Animals	123
i_believe_i_can_fly.hum	R. Kelly	60
i_cant_make_you_love_me.hum	Bonnie Raitt	61
i_cant_stop_loving_you.hum	Ray Charles	120
i_fought_the_law.hum	The Bobby Fuller Four	148
i_got_you.hum	James Brown	145
i_heard_it_through_the_grapevine.hum	Marvin Gaye	118
imagine.hum	John Lennon	72
im_so_lonesome_i_could_cry.hum	Hank Williams	166
im_waiting_for_the_man.hum	The Velvet Underground	124
in_bloom.hum	Nirvana	78
in_my_life.hum	The Beatles	102
in_the_midnight_hour.hum	Wilson Pickett	112
in_the_still_of_the_night.hum	The Five Satins	108
i_only_have_eyes_for_you.hum	The Flamingos	89
i_saw_her_standing_there.hum	The Beatles	160
i_still_havent_found_what_im_looking_for.hum	U2	100
its_a_mans_mans_mans_world.hum	James Brown	81
ive_been_loving_you_too_long.hum	Otis Redding	76
i_walk_the_line.hum	Johnny Cash	210
i_wanna_be_sedated.hum	The Ramones	162
i_want_to_hold_your_hand.hum	The Beatles	134
