Name	Exclusive	RE	Pretty	Type
Key		[A-Ga-g][-#b]*: 	_:	Tandem
KeySignature		k\[([a-g][#-]* *)*\] 	k[_]	Tandem
Clef		clef[A-G]v*[1-5]* 	clef_	Tandem
TimeSignature		M[1-9][0-9]*/((16)|(32)|[1248]) 	M_/_	Tandem
Mensuration		met\([^)]*\) 	met(_)	Tandem
BPM		MM[0-9]+ 	MM_	Tandem
Timebase		tb[1-9][0-9]*%?[1-9]?[0-9]*[.]* 	tb_	Tandem
Instrument		I[^C,]+ 	I_	Tandem
InstrumentClass		IC[^,]* 	IC_	Tandem
TransposingInstrument		ITr[^,]* 	ITr_	Tandem
kernPitch	kern	([A-Ga-g])\1*([#-])*\2*	c	Exclusive
Beam 		([/\\]?(L+K*)?)|([/\\]?(J+k*)?)		Exclusive
MelodicSignifier		[TtMmWw]R?|[TtMmWwS$O]		Exclusive
Articulation		['`\"~I][vu]?|[vu]		Exclusive
Slur		[({{\[]+|[)}}\]_]+|_		Exclusive
recip	recip	[1-9][0-9]*%?[1-9]?[0-9]*[.]*|0{1,2}\.*	8.	Exclusive
noteValue		[𝅜𝅝𝅗𝅥𝅘𝅥𝅘𝅥𝅮𝅘𝅥𝅯𝅘𝅥𝅰𝅘𝅥𝅱𝅘𝅥𝅲](∕[1-9][0-9]*)?(∗[1-9][0-9]*)?𝅭*	𝅝∕3∗5	Exclusive
sciPitch	pitch	[A-G][b#-]*[-+]?[0-9][0-9]*	C4	Exclusive
solfa		[\^v',]*([sd][eoi][#-]*|[fl][eai][#-]*|[mt][eiy][#-]*|r[aei])	do	Exclusive
kern		(\[?[({{]*)?(<<`recip`>>)?<<`kernPitch`>>(<<`MelodicSignifier`>>)?(<<`Articulation`>>)?(<<`Beam`>>)?([_\]]?[)}]*)?	(4c'/Jk	Exclusive
interval		[+-]?([MmP]|[Ad#b]+)[1-9][0-9]*	+P5	Exclusive
scaleDegree		[\^v',]*([MmPn]|[Ad#b]*)[1-9][0-9]*	P5	Exclusive
decimal		[+-]?[0-9]+(\.[0-9]+)?	3.14	Atomic
sciChord		[A-G][b#-]*[MmAd]+	C#Mm	Atomic
